id,tweet_text,status,scheduled_slot,posted_at,posted_tweet_id
01,"Bugün araştırırken şunu öğrendim: sermaye korumak, kazanmaktan daha önce geliyormuş. Önce kaybetmemeyi öğrenip sonra kazanmayı düşüneceğim.

#TradeÖğreniyorum 01 #SermayeKoruma",sent,aksam,2026-07-31T20:29:02.584397+00:00,
02,"Okuduğum kadarıyla çoğu yeni başlayan işlemci, strateji değil heyecan yüzünden kaybediyor. Bu yüzden önce psikolojiye çalışmaya karar verdim.

#TradeÖğreniyorum 02 #TradePsikolojisi",sent,aksam,2026-08-01T11:41:31.370201+00:00,
03,"Bir pozisyona girmeden önce artık kendime soruyorum: bu karar bir plana mı dayanıyor, yoksa sıkılmışlığıma mı? Dürüst cevap genelde ikincisi oluyor.

#TradeÖğreniyorum 03",sent,aksam,2026-08-01T15:43:01.651436+00:00,
04,"İşlem günlüğü tutmaya başladım. İlk haftadan çıkardığım sonuç: kaybettiğim işlemlerin çoğunda aslında bir kuralı zaten biliyormuşum, uymamışım.

#TradeÖğreniyorum 04 #İşlemGünlüğü",sent,aksam,2026-08-01T20:14:56.905159+00:00,
05,"Bugün fark ettim ki 'kaçırma korkusu' bende genelde fiyat hızlı yükseldiğinde değil, çevremdekiler kazandığını anlattığında tetikleniyor.

#TradeÖğreniyorum 05 #FOMO",pending,,,
06,"Notlarıma bunu da ekledim: risk yönetimi bir işlemde kaybetmemek değil, uzun vadede oyunda kalabilmek içinmiş. Küçük bir zihniyet değişikliği ama önemli.

#TradeÖğreniyorum 06 #RiskYönetimi",pending,,,
07,"Mark Douglas, Güvenli Trade Sanatı kitabında piyasanın belirsizliğini kabul etmenin disiplinin temeli olduğunu anlatıyor. Bu cümle bende oturdu.

#TradeÖğreniyorum 07",pending,,,
08,"Bu bakış açısı bana mantıklı geldi: her işlem tek başına bir sonuç değil, uzun bir serinin parçası. Tek bir kaybı büyütmeme sebebim artık bu.

#TradeÖğreniyorum 08",pending,,,
09,"Bugünkü ders notum: grafik okumayı öğrenmek zaman alıyor ama sabırsızlanmak öğrenmeyi hızlandırmıyor, tam tersi yapıyor.

#TradeÖğreniyorum 09 #Sabır",pending,,,
10,"Geçenlerde fark ettim ki pozisyon büyüklüğünü duygusal duruma göre ayarlıyormuşum. Bu hafta sabit bir risk yüzdesiyle işlem yapmayı deniyorum.

#TradeÖğreniyorum 10 #RiskYönetimi",pending,,,
